Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.714,7.18,7.217,7.1,7.268,..,..,8.347,9.221,9.843,11.461,8.736,6.805,6.139,..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.345,5.143,6.394,5.023,3.728,3.668,..
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.33,11.936,13.697,13.159,9.231,7.947,..
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.1,4.1,4.1,4.05,4.1,..,..,3.9,4.93,5.15,5.61,5.11,..,..,..
France,FRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.279,9.228,9.841,9.913,10.273,10.354,10.057,9.41,9.018,8.415,8.01,7.871,7.303,7.335,..
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.043,5.967,5.372,5.316,4.98,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068,..
India,IND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.115,..,3.222,..,..,..,..,..,7.652,6.51,7.859,6.38,4.822,4.172,..
Indonesia,IDN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.614,5.153,4.468,4.336,4.049,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308,..
Italy,ITA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.363,8.359,10.655,12.149,12.683,11.896,11.688,11.211,10.61,9.952,9.164,9.497,8.069,7.627,..
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.103,4.55,4.358,4.038,3.589,3.385,3.132,2.822,2.467,2.351,2.809,2.809,2.615,2.6,..
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.324,2.992,2.812,2.747,3.082,3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857,2.675,..
Mexico,MEX,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.303,5.175,4.892,4.921,4.819,4.311,3.853,3.419,3.275,3.477,4.441,4.019,3.256,2.765,..
Netherlands,NLD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.991,4.977,5.821,7.241,7.419,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.537,..
Russian Federation,RUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.407,6.571,5.484,5.513,5.212,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076,..
Saudi Arabia,SAU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.55,..,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008,..
Spain,ESP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,19.86,21.391,24.789,26.094,24.441,22.057,19.635,17.224,15.255,14.105,15.532,14.781,12.917,12.179,..
Switzerland,CHE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.808,4.409,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.013,4.122,4.043,..
Turkiye,TUR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.465,9.388,..
United Kingdom,GBR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.973,8.195,8.279,7.752,6.398,5.552,4.909,4.501,4.145,3.657,4.518,4.865,3.768,4.025,..
United States,USA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,1.692,..,7.915,..,..,11.184,..,..,11.71,5.679,..,..,..
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.96,9.96,10.97,9.82,10.207,11.206,10.202,..,..,..,..,..,..,..,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..
